Type,Date,Description,Address,Latitude,Longitude,City,State,Median Household Income,Address_Clean
Assault,08/30/2024 11:01 PM,DOMESTIC ASSAULT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1100 BLOCK OF EAST THOMPSON, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","1100 block of east thompson, maryville, mo"
Vandalism,08/29/2024 1:46 PM,PROPERTY DAMAGE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF NORTH RAY, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","200 block of north ray, maryville, mo"
Other,08/29/2024 11:26 AM,DOMESTIC DISTURBANCE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF EAST 3RD STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","100 block of east 3rd street, maryville, mo"
Theft,08/28/2024 12:35 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF NORTH VINE, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","100 block of north vine, maryville, mo"
Theft,08/27/2024 2:29 PM,LOST/STOLEN PROPERTY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"600 BLOCK OF EAST 14TH STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","600 block of east 14th street, maryville, mo"
Theft,08/25/2024 8:40 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF NORTH BUCHANAN, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","200 block of north buchanan, maryville, mo"
Theft,08/25/2024 4:32 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF NORTH BUCHANAN, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","100 block of north buchanan, maryville, mo"
Arrest,08/25/2024 12:09 PM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF NORTH VINE, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","100 block of north vine, maryville, mo"
Assault,08/25/2024 8:39 AM,SEXUAL ASSAULT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"500 BLOCK OF EAST JENKINS, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","500 block of east jenkins, maryville, mo"
Arrest,08/25/2024 3:06 AM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"500 BLOCK OF WEST 4TH STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","500 block of west 4th street, maryville, mo"
Arrest,08/25/2024 12:38 AM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"400 BLOCK OF EAST 1ST STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","400 block of east 1st street, maryville, mo"
Arrest,08/24/2024 1:56 AM,DWI - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"100 BLOCK OF WEST 4TH STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","100 block of west 4th street, maryville, mo"
Theft,08/23/2024 3:17 PM,LOST/STOLEN LICENSE PLATE - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF EAST 3RD STREET, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","200 block of east 3rd street, maryville, mo"
Theft,08/18/2024 2:42 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","600 block of south main, maryville, mo"
Assault,08/18/2024 12:43 AM,ASSAULT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"300 BLOCK OF EAST COOPER, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","300 block of east cooper, maryville, mo"
Theft,08/14/2024 10:58 PM,LARCENY - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1600 BLOCK OF SOUTH MAIN, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","1600 block of south main, maryville, mo"
Assault,08/12/2024 11:31 AM,HARASSMENT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"1100 BLOCK OF NORTH COLLEGE AVENUE, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","1100 block of north college avenue, maryville, mo"
Assault,08/05/2024 10:03 AM,DOMESTIC ASSAULT - THIS IS FROM THE MARYVILLE POLICE CALLS FOR SERVICE. INFORMATION IS SUBJECT TO CHANGE.,"200 BLOCK OF VOLUNTEER AVENUE, Maryville, MO",40.739141,-95.02719573469388,Maryville,MO,"$49,144","200 block of volunteer avenue, maryville, mo"
Shooting,04/14/2024 12:00 AM,A Report Of A Shooting.,"11000 BLOCK OF EAST 11TH STREET, Atlantic, IA",41.4038492244898,-95.01173408163264,Atlantic,IA,"$54,692","11000 block of east 11th street, atlantic, ia"
Other,10/04/2024 10:05 PM,ALL OTHER. Event #,"200 BLOCK OF COURT AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","200 block of court ave, des moines, ia"
Other,10/04/2024 9:44 PM,ALL OTHER. Event #,"1200 BLOCK OF PLEASANT ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1200 block of pleasant st, des moines, ia"
Other,10/04/2024 5:29 PM,Trespass of Real Property. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1200 block of 6th ave, des moines, ia"
Other,10/04/2024 4:25 PM,Trespass of Real Property. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","200 block of 7th st, des moines, ia"
Other,10/04/2024 1:11 PM,ALL OTHER. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","1200 block of 6th ave, des moines, ia"
Theft,10/04/2024 12:41 PM,Larceny All Other. Event #,"200 BLOCK OF E GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","200 block of e grand ave, des moines, ia"
Burglary,10/04/2024 9:39 AM,Burglary/Breaking & Entering. Event #,"2300 BLOCK OF GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719,Des Moines,IA,"$62,378","2300 block of grand ave, des moines, ia"
