Address,City,State,Median Household Income,Address_Clean
"E 17TH ST N & N OLIVER AVE, WICHITA, KS",WICHITA,KS,"$60,712","e 17th st n & n oliver ave, wichita, ks"
"2500 BLOCK OF N RIDGEWOOD CT, WICHITA, KS",WICHITA,KS,"$60,712","2500 block of n ridgewood ct, wichita, ks"
"3300 BLOCK OF N OLIVER AVE, WICHITA, KS",WICHITA,KS,"$60,712","3300 block of n oliver ave, wichita, ks"
"2400 BLOCK OF N RIDGEWOOD CT, WICHITA, KS",WICHITA,KS,"$60,712","2400 block of n ridgewood ct, wichita, ks"
"2600 BLOCK OF N HILLCREST ST, WICHITA, KS",WICHITA,KS,"$60,712","2600 block of n hillcrest st, wichita, ks"
"4800 BLOCK OF E LOOMAN ST, WICHITA, KS",WICHITA,KS,"$60,712","4800 block of e looman st, wichita, ks"
"4900 BLOCK OF E SHADYBROOK LN, WICHITA, KS",WICHITA,KS,"$60,712","4900 block of e shadybrook ln, wichita, ks"
"2600 BLOCK OF N HOLYOKE AVE, WICHITA, KS",WICHITA,KS,"$60,712","2600 block of n holyoke ave, wichita, ks"
"2600 BLOCK OF N FAIRMOUNT AVE, WICHITA, KS",WICHITA,KS,"$60,712","2600 block of n fairmount ave, wichita, ks"
"6100 BLOCK OF E 21ST ST N, WICHITA, KS",WICHITA,KS,"$60,712","6100 block of e 21st st n, wichita, ks"
"3300 BLOCK OF N HILLSIDE AVE, WICHITA, KS",WICHITA,KS,"$60,712","3300 block of n hillside ave, wichita, ks"
"5900 BLOCK OF E MAINSGATE ST, WICHITA, KS",WICHITA,KS,"$60,712","5900 block of e mainsgate st, wichita, ks"
"2700 BLOCK OF N BATTIN ST, WICHITA, KS",WICHITA,KS,"$60,712","2700 block of n battin st, wichita, ks"
"2700 BLOCK OF N LORRAINE AVE, WICHITA, KS",WICHITA,KS,"$60,712","2700 block of n lorraine ave, wichita, ks"
"6200 BLOCK OF E 21ST ST N, WICHITA, KS",WICHITA,KS,"$60,712","6200 block of e 21st st n, wichita, ks"
"3200 BLOCK OF E 27TH ST N, WICHITA, KS",WICHITA,KS,"$60,712","3200 block of e 27th st n, wichita, ks"
"6200 BLOCK OF E 29TH ST N, WICHITA, KS",WICHITA,KS,"$60,712","6200 block of e 29th st n, wichita, ks"
"2600 BLOCK OF N HILLSIDE AVE, WICHITA, KS",WICHITA,KS,"$60,712","2600 block of n hillside ave, wichita, ks"
"2800 BLOCK OF N FAIRMOUNT AVE, WICHITA, KS",WICHITA,KS,"$60,712","2800 block of n fairmount ave, wichita, ks"
"2300 BLOCK OF N PINECREST AVE, WICHITA, KS",WICHITA,KS,"$60,712","2300 block of n pinecrest ave, wichita, ks"
"2700 BLOCK OF E PAWNEE AVE, WICHITA, KS",WICHITA,KS,"$60,712","2700 block of e pawnee ave, wichita, ks"
"2900 BLOCK OF E ORME ST, WICHITA, KS",WICHITA,KS,"$60,712","2900 block of e orme st, wichita, ks"
"E 37TH ST N & N ROCK RD, WICHITA, KS",WICHITA,KS,"$60,712","e 37th st n & n rock rd, wichita, ks"
"9500 BLOCK OF E 45TH ST N, WICHITA, KS",WICHITA,KS,"$60,712","9500 block of e 45th st n, wichita, ks"
"3600 BLOCK OF N ROCK RD, WICHITA, KS",WICHITA,KS,"$60,712","3600 block of n rock rd, wichita, ks"
"3800 BLOCK OF N ROCK RD, WICHITA, KS",WICHITA,KS,"$60,712","3800 block of n rock rd, wichita, ks"
"3100 BLOCK OF N WEBB RD, WICHITA, KS",WICHITA,KS,"$60,712","3100 block of n webb rd, wichita, ks"
"3200 BLOCK OF N TOBEN ST, WICHITA, KS",WICHITA,KS,"$60,712","3200 block of n toben st, wichita, ks"
"8500 BLOCK OF E 44TH CIR N, WICHITA, KS",WICHITA,KS,"$60,712","8500 block of e 44th cir n, wichita, ks"
"3700 BLOCK OF N ROCK RD, WICHITA, KS",WICHITA,KS,"$60,712","3700 block of n rock rd, wichita, ks"
"8600 BLOCK OF E 44TH CIR N, WICHITA, KS",WICHITA,KS,"$60,712","8600 block of e 44th cir n, wichita, ks"
"3800 BLOCK OF N TOBEN ST, WICHITA, KS",WICHITA,KS,"$60,712","3800 block of n toben st, wichita, ks"
"E K96 HWY & N WEBB RD, WICHITA, KS",WICHITA,KS,"$60,712","e k96 hwy & n webb rd, wichita, ks"
"8200 BLOCK OF E CHAMPIONS ST, WICHITA, KS",WICHITA,KS,"$60,712","8200 block of e champions st, wichita, ks"
"9400 BLOCK OF E 29TH ST N, WICHITA, KS",WICHITA,KS,"$60,712","9400 block of e 29th st n, wichita, ks"
"3100 BLOCK OF N CYPRESS ST, WICHITA, KS",WICHITA,KS,"$60,712","3100 block of n cypress st, wichita, ks"
"8600 BLOCK OF E 44TH ST N, WICHITA, KS",WICHITA,KS,"$60,712","8600 block of e 44th st n, wichita, ks"
"3200 BLOCK OF N CYPRESS ST, WICHITA, KS",WICHITA,KS,"$60,712","3200 block of n cypress st, wichita, ks"
"8700 BLOCK OF E 34TH ST N, WICHITA, KS",WICHITA,KS,"$60,712","8700 block of e 34th st n, wichita, ks"
"8600 BLOCK OF E MILLRUN ST, WICHITA, KS",WICHITA,KS,"$60,712","8600 block of e millrun st, wichita, ks"
"4200 BLOCK OF N IRONWOOD ST, WICHITA, KS",WICHITA,KS,"$60,712","4200 block of n ironwood st, wichita, ks"
"9300 BLOCK OF E 42ND ST N, WICHITA, KS",WICHITA,KS,"$60,712","9300 block of e 42nd st n, wichita, ks"
"3000 BLOCK OF N CYPRESS ST, WICHITA, KS",WICHITA,KS,"$60,712","3000 block of n cypress st, wichita, ks"
"8200 BLOCK OF E 34TH CIR N, WICHITA, KS",WICHITA,KS,"$60,712","8200 block of e 34th cir n, wichita, ks"
"4000 BLOCK OF N TOBEN ST, WICHITA, KS",WICHITA,KS,"$60,712","4000 block of n toben st, wichita, ks"
"100 BLOCK OF MAIN ST, Whitesburg, KY",Whitesburg,KY,"$32,663","100 block of main st, whitesburg, ky"
"800 BLOCK OF MORRIS AVE, Cumberland, KY",Cumberland,KY,"$32,716","800 block of morris ave, cumberland, ky"
"900 BLOCK OF KY-550, Hazard, KY",Hazard,KY,"$65,846","900 block of ky-550, hazard, ky"
"2000 BLOCK OF BUFFINGTON AVENUE, Huntington, WV",Huntington,WV,"$39,066","2000 block of buffington avenue, huntington, wv"
"1500 BLOCK OF DOULTON AVENUE, Huntington, WV",Huntington,WV,"$39,066","1500 block of doulton avenue, huntington, wv"
"1000 BLOCK OF 9TH AVENUE, Huntington, WV",Huntington,WV,"$39,066","1000 block of 9th avenue, huntington, wv"
"1200 BLOCK OF 28TH STREET, Huntington, WV",Huntington,WV,"$39,066","1200 block of 28th street, huntington, wv"
"700 BLOCK OF WEST 9TH STREET, Huntington, WV",Huntington,WV,"$39,066","700 block of west 9th street, huntington, wv"
"1500 BLOCK GARDINER LN, WATTERSON PARK, KY",WATTERSON PARK,KY,"$42,059","1500 block gardiner ln, watterson park, ky"
"2100 BLOCK STRATHMOOR BLVD, STRATHMOOR MANOR, KY",STRATHMOOR MANOR,KY,"$186,094","2100 block strathmoor blvd, strathmoor manor, ky"
"4300 BLOCK BISHOP LN, WATTERSON PARK, KY",WATTERSON PARK,KY,"$42,059","4300 block bishop ln, watterson park, ky"
"2000 BLOCK BASHFORD MANOR LN, WEST BUECHEL, KY",WEST BUECHEL,KY,"$48,750","2000 block bashford manor ln, west buechel, ky"
"100 BLOCK SPRING CREEK CT, WATTERSON PARK, KY",WATTERSON PARK,KY,"$42,059","100 block spring creek ct, watterson park, ky"
"2200 BLOCK GLADSTONE AVE, STRATHMOOR VILLAGE, KY",STRATHMOOR VILLAGE,KY,"$106,250","2200 block gladstone ave, strathmoor village, ky"
"900 BLK SOUTH TILLOTSON, Muncie, IN",Muncie,IN,"$40,309","900 blk south tillotson, muncie, in"
"700 BLOCK OF BLK. S. NICHOLS, Muncie, IN",Muncie,IN,"$40,309","700 block of blk. s. nichols, muncie, in"
"UNIVERSITY/ALDEN, Muncie, IN",Muncie,IN,"$40,309","university/alden, muncie, in"
"WHITE RIVER/NICHOLS, Muncie, IN",Muncie,IN,"$40,309","white river/nichols, muncie, in"
"WEST 14TH STREET AND SOUTH ROCHESTER AVENUE, Muncie, IN",Muncie,IN,"$40,309","west 14th street and south rochester avenue, muncie, in"
"2500 BLK W WHITE RIVER, Muncie, IN",Muncie,IN,"$40,309","2500 blk w white river, muncie, in"
"800 BLK S TILLOTSON, Muncie, IN",Muncie,IN,"$40,309","800 blk s tillotson, muncie, in"
"MADISON AVENUE NEAR 12TH STREET, Muncie, IN",Muncie,IN,"$40,309","madison avenue near 12th street, muncie, in"
"2000 BLK W MAIN, Muncie, IN",Muncie,IN,"$40,309","2000 blk w main, muncie, in"
"2400 BLK W GODMAN, Muncie, IN",Muncie,IN,"$40,309","2400 blk w godman, muncie, in"
"BRITTAIN/JACKSON, Muncie, IN",Muncie,IN,"$40,309","brittain/jackson, muncie, in"
"GILBERT/CELIA, Muncie, IN",Muncie,IN,"$40,309","gilbert/celia, muncie, in"
"300 BLOCK OF BLK. N. TALLEY, Muncie, IN",Muncie,IN,"$40,309","300 block of blk. n. talley, muncie, in"
"TILLOTSON/TILLOTSON OVERPASS, Muncie, IN",Muncie,IN,"$40,309","tillotson/tillotson overpass, muncie, in"
"2100 BLK W WASHINGTON, Muncie, IN",Muncie,IN,"$40,309","2100 blk w washington, muncie, in"
"RIVERSIDE/BRENTWOOD, Muncie, IN",Muncie,IN,"$40,309","riverside/brentwood, muncie, in"
"400 BLOCK OF ALBANY ST, Beech Grove, IN",Beech Grove,IN,"$51,352","400 block of albany st, beech grove, in"
"2300 BLOCK OF EAST MAIN STREET, Plainfield, IN",Plainfield,IN,"$77,249","2300 block of east main street, plainfield, in"
"1900 BLOCK OF E MAIN ST, Hendricks County, IN",Hendricks County,IN,"$95,261","1900 block of e main st, hendricks county, in"
"2300 BLOCK OF SECOND ST, Hendricks County, IN",Hendricks County,IN,"$95,261","2300 block of second st, hendricks county, in"
"8500 BLOCK OF E 300 S, Hendricks County, IN",Hendricks County,IN,"$95,261","8500 block of e 300 s, hendricks county, in"
"1900 BLOCK S HURSTBOURNE PKY, FOREST HILLS, KY",FOREST HILLS,KY,"$85,625","1900 block s hurstbourne pky, forest hills, ky"
"2600 BLOCK S HURSTBOURNE PKY, JEFFERSONTOWN, KY",JEFFERSONTOWN,KY,"$78,929","2600 block s hurstbourne pky, jeffersontown, ky"
"8800 BLOCK BIG TREE WAY, JEFFERSONTOWN, KY",JEFFERSONTOWN,KY,"$78,929","8800 block big tree way, jeffersontown, ky"
"00 BLOCK AUTOCENTER DR, FOREST HILLS, KY",FOREST HILLS,KY,"$85,625","00 block autocenter dr, forest hills, ky"
"4600 BLOCK LOWE RD, ST REGIS PARK, KY",ST REGIS PARK,KY,"$94,803","4600 block lowe rd, st regis park, ky"
"2100 BLOCK DEERCROSS DR, HURSTBOURNE ACRES, KY",HURSTBOURNE ACRES,KY,"$67,645","2100 block deercross dr, hurstbourne acres, ky"
"2300 BLOCK ARLINGTON COURT, JEFFERSONTOWN, KY",JEFFERSONTOWN,KY,"$78,929","2300 block arlington court, jeffersontown, ky"
"L AND N TURNPIKE RD, Munfordville, KY",Munfordville,KY,"$26,953","l and n turnpike rd, munfordville, ky"
"PEA RIDGE ROAD, Scottsville, KY",Scottsville,KY,"$34,835","pea ridge road, scottsville, ky"
"MCKENNA STREET, Glasgow, KY",Glasgow,KY,"$44,125","mckenna street, glasgow, ky"
"SOUTH GREEN STREET, Glasgow, KY",Glasgow,KY,"$44,125","south green street, glasgow, ky"
"00 BLOCK OF PONY CHASE LN, Hardin County, KY",Hardin County,KY,"$64,136","00 block of pony chase ln, hardin county, ky"
"3800 BLOCK OF ROUNDTOP RD, Hardin County, KY",Hardin County,KY,"$64,136","3800 block of roundtop rd, hardin county, ky"
"600 BLOCK OF LARUE LN, Hardin County, KY",Hardin County,KY,"$64,136","600 block of larue ln, hardin county, ky"
"1900 BLOCK OF ROUNDTOP RD, Hardin County, KY",Hardin County,KY,"$64,136","1900 block of roundtop rd, hardin county, ky"
"3500 BLOCK OF HODGENVILLE RD, Hardin County, KY",Hardin County,KY,"$64,136","3500 block of hodgenville rd, hardin county, ky"
"2100 BLOCK OF ROUNDTOP RD, Hardin County, KY",Hardin County,KY,"$64,136","2100 block of roundtop rd, hardin county, ky"
"200 BLOCK OF WAKEFIELD DR, Hardin County, KY",Hardin County,KY,"$64,136","200 block of wakefield dr, hardin county, ky"
"4300 BLOCK OF MIDDLE CREEK RD, Hardin County, KY",Hardin County,KY,"$64,136","4300 block of middle creek rd, hardin county, ky"
"3400 BLOCK OF LOCUST GROVE RD, Hardin County, KY",Hardin County,KY,"$64,136","3400 block of locust grove rd, hardin county, ky"
"00 BLOCK OF KNOLLWOOD LN, Hardin County, KY",Hardin County,KY,"$64,136","00 block of knollwood ln, hardin county, ky"
"3200 BLOCK OF ROUNDTOP RD, Hardin County, KY",Hardin County,KY,"$64,136","3200 block of roundtop rd, hardin county, ky"
"BLUEBIRD DRIVE, Russell Springs, KY",Russell Springs,KY,"$34,219","bluebird drive, russell springs, ky"
"LANCASTER AVE AT CRABBE ST, Richmond, KY",Richmond,KY,"$45,457","lancaster ave at crabbe st, richmond, ky"
"LANCASTER AND MILLER BECKHAM MCQUERY, Richmond, KY",Richmond,KY,"$45,457","lancaster and miller beckham mcquery, richmond, ky"
"MASON AVENUE, Danville, KY",Danville,KY,"$48,038","mason avenue, danville, ky"
"SANDIDGE SPUR RD, Eubank, KY",Eubank,KY,"$44,205","sandidge spur rd, eubank, ky"
"BROWN RIDGE ROAD, Jamestown, KY",Jamestown,KY,"$29,438","brown ridge road, jamestown, ky"
"CRABBE ST./LANCASTER AVE., Richmond, KY",Richmond,KY,"$45,457","crabbe st./lancaster ave., richmond, ky"
"EAST CAMPUS TOWNHOUSE #214, Georgetown, KY",Georgetown,KY,"$74,530","east campus townhouse #214, georgetown, ky"
"PIERCE HALL, Georgetown, KY",Georgetown,KY,"$74,530","pierce hall, georgetown, ky"
"ANDERSON HALL RM 149, Georgetown, KY",Georgetown,KY,"$74,530","anderson hall rm 149, georgetown, ky"
"ANDERSON HALL, Georgetown, KY",Georgetown,KY,"$74,530","anderson hall, georgetown, ky"
"RUCKER VILLAGE APT 108, Georgetown, KY",Georgetown,KY,"$74,530","rucker village apt 108, georgetown, ky"
"SOCIOLOGY BUILDING PARKING LOT, Georgetown, KY",Georgetown,KY,"$74,530","sociology building parking lot, georgetown, ky"
"PHI TAU 498 EAST JACKSON STREET, Georgetown, KY",Georgetown,KY,"$74,530","phi tau 498 east jackson street, georgetown, ky"
"EAST CAMPUS TOWNHOUSE #96, Georgetown, KY",Georgetown,KY,"$74,530","east campus townhouse #96, georgetown, ky"
"PHI KAPPA TAU HOUSE, Georgetown, KY",Georgetown,KY,"$74,530","phi kappa tau house, georgetown, ky"
"EAST CAMPUS BUILDING 100 APT 113, Georgetown, KY",Georgetown,KY,"$74,530","east campus building 100 apt 113, georgetown, ky"
"GIDDINGS HALL, Georgetown, KY",Georgetown,KY,"$74,530","giddings hall, georgetown, ky"
"DUDLEY BUILDING, Georgetown, KY",Georgetown,KY,"$74,530","dudley building, georgetown, ky"
"KNIGHT HALL, Georgetown, KY",Georgetown,KY,"$74,530","knight hall, georgetown, ky"
"200 BLOCK OF W JOHN ROWAN BLVD, Bardstown, KY",Bardstown,KY,"$47,654","200 block of w john rowan blvd, bardstown, ky"
"WESTRIDGE DRIVE, Frankfort, KY",Frankfort,KY,"$53,905","westridge drive, frankfort, ky"
"REED HALL PARKING LOT, Morehead, KY",Morehead,KY,"$32,020","reed hall parking lot, morehead, ky"
"9600 BLOCK WESTPORT RD, ROLLING HILLS, KY",ROLLING HILLS,KY,"$99,792","9600 block westport rd, rolling hills, ky"
"9400 BLOCK WESTPORT RD, MEADOW VALE, KY",MEADOW VALE,KY,"$88,875","9400 block westport rd, meadow vale, ky"
"9200 BLOCK WESTPORT RD, ROLLING HILLS, KY",ROLLING HILLS,KY,"$99,792","9200 block westport rd, rolling hills, ky"
"9000 BLOCK BLOSSOM LN, LANGDON PLACE, KY",LANGDON PLACE,KY,"$99,091","9000 block blossom ln, langdon place, ky"
"1700 BLOCK ASHMOOR LN, MOORLAND, KY",MOORLAND,KY,"$68,000","1700 block ashmoor ln, moorland, ky"
"10100 BLOCK WHIPPS MILL RD, LYNDON, KY",LYNDON,KY,"$63,806","10100 block whipps mill rd, lyndon, ky"
"1600 BLOCK ASHMOOR LN, MOORLAND, KY",MOORLAND,KY,"$68,000","1600 block ashmoor ln, moorland, ky"
"9500 BLOCK WESTPORT RD, MEADOW VALE, KY",MEADOW VALE,KY,"$88,875","9500 block westport rd, meadow vale, ky"
"9100 BLOCK KENLOCK DR, ROLLING HILLS, KY",ROLLING HILLS,KY,"$99,792","9100 block kenlock dr, rolling hills, ky"
"2900 BLOCK GOOSE CREEK RD, MEADOW VALE, KY",MEADOW VALE,KY,"$88,875","2900 block goose creek rd, meadow vale, ky"
"9400 BLOCK AYLESBURY DR, ROLLING HILLS, KY",ROLLING HILLS,KY,"$99,792","9400 block aylesbury dr, rolling hills, ky"
"3100 BLOCK CREEKSIDE DR, CREEKSIDE, KY",CREEKSIDE,KY,"$125,481","3100 block creekside dr, creekside, ky"
"1600 BLOCK OF S PRESTON HWY, Shepherdsville, KY",Shepherdsville,KY,"$71,875","1600 block of s preston hwy, shepherdsville, ky"
"200 BLOCK OF CEDAR GROVE RD, Shepherdsville, KY",Shepherdsville,KY,"$71,875","200 block of cedar grove rd, shepherdsville, ky"
"OHM RD AND I-65 RAMP SB FROM OHM RD, Shepherdsville, KY",Shepherdsville,KY,"$71,875","ohm rd and i-65 ramp sb from ohm rd, shepherdsville, ky"
"PAROQUET SPRINGS DR AND PAROQUET SPRINGS DR NC, Shepherdsville, KY",Shepherdsville,KY,"$71,875","paroquet springs dr and paroquet springs dr nc, shepherdsville, ky"
"CEDAR GROVE RD AND I-65 RAMP SB TO CEDAR GROVE RD, Shepherdsville, KY",Shepherdsville,KY,"$71,875","cedar grove rd and i-65 ramp sb to cedar grove rd, shepherdsville, ky"
"200 BLOCK OF JOHNSON DR, Shepherdsville, KY",Shepherdsville,KY,"$71,875","200 block of johnson dr, shepherdsville, ky"
"100 BLOCK OF DAWSON DR, Shepherdsville, KY",Shepherdsville,KY,"$71,875","100 block of dawson dr, shepherdsville, ky"
"100 BLOCK OF ALPHA WAY, Shepherdsville, KY",Shepherdsville,KY,"$71,875","100 block of alpha way, shepherdsville, ky"
"300 BLOCK OF OMEGA PKWY, Shepherdsville, KY",Shepherdsville,KY,"$71,875","300 block of omega pkwy, shepherdsville, ky"
"100 BLOCK OF I-65, Bullitt County, KY",Bullitt County,KY,"$73,900","100 block of i-65, bullitt county, ky"
"400 BLOCK OF CEDAR GROVE RD, Shepherdsville, KY",Shepherdsville,KY,"$71,875","400 block of cedar grove rd, shepherdsville, ky"
"100 BLOCK OF VELOCITY WAY, Shepherdsville, KY",Shepherdsville,KY,"$71,875","100 block of velocity way, shepherdsville, ky"
"100 BLOCK OF MILLER DR, Shepherdsville, KY",Shepherdsville,KY,"$71,875","100 block of miller dr, shepherdsville, ky"
"100 BLOCK OF JOHNSON DR, Shepherdsville, KY",Shepherdsville,KY,"$71,875","100 block of johnson dr, shepherdsville, ky"
"1000 BLOCK OF CEDAR GROVE RD, Shepherdsville, KY",Shepherdsville,KY,"$71,875","1000 block of cedar grove rd, shepherdsville, ky"
"100 BLOCK OF APT 5 MICHIGAN CT, Bullitt County, KY",Bullitt County,KY,"$73,900","100 block of apt 5 michigan ct, bullitt county, ky"
"100 BLOCK OF SUPERIOR CT, Shepherdsville, KY",Shepherdsville,KY,"$71,875","100 block of superior ct, shepherdsville, ky"
"100 BLOCK OF W THOMAS P ECHOLS LN, Shepherdsville, KY",Shepherdsville,KY,"$71,875","100 block of w thomas p echols ln, shepherdsville, ky"
"10600 BLOCK OF SPARROW CT, Bullitt County, KY",Bullitt County,KY,"$73,900","10600 block of sparrow ct, bullitt county, ky"
"ALLNUTT DRIVE, Frankfort, KY",Frankfort,KY,"$53,905","allnutt drive, frankfort, ky"
"EAST MAIN STREET, Frankfort, KY",Frankfort,KY,"$53,905","east main street, frankfort, ky"
"GREAT BUFFALO TRACE, Frankfort, KY",Frankfort,KY,"$53,905","great buffalo trace, frankfort, ky"
"EAST MAIN STREET NEAR WINDING WAY DRIVE, Frankfort, KY",Frankfort,KY,"$53,905","east main street near winding way drive, frankfort, ky"
"SHELBY STREET, Frankfort, KY",Frankfort,KY,"$53,905","shelby street, frankfort, ky"
"WAPPING STREET, Frankfort, KY",Frankfort,KY,"$53,905","wapping street, frankfort, ky"
"WEST STATE STREET, Frankfort, KY",Frankfort,KY,"$53,905","west state street, frankfort, ky"
"EAST THIRD STREET, Frankfort, KY",Frankfort,KY,"$53,905","east third street, frankfort, ky"
"MYRTLE AVENUE, Frankfort, KY",Frankfort,KY,"$53,905","myrtle avenue, frankfort, ky"
"HANNA PLACE, Frankfort, KY",Frankfort,KY,"$53,905","hanna place, frankfort, ky"
"CAPITAL AVENUE NEAR EAST SECOND STREET, Frankfort, KY",Frankfort,KY,"$53,905","capital avenue near east second street, frankfort, ky"
"WEST SECOND STREET, Frankfort, KY",Frankfort,KY,"$53,905","west second street, frankfort, ky"
"UNIVERSITY DRIVE, Frankfort, KY",Frankfort,KY,"$53,905","university drive, frankfort, ky"
"NORTH LIME STREET, Frankfort, KY",Frankfort,KY,"$53,905","north lime street, frankfort, ky"
"WILKINSON BOULEVARD, Frankfort, KY",Frankfort,KY,"$53,905","wilkinson boulevard, frankfort, ky"
"BROADWAY STREET, Frankfort, KY",Frankfort,KY,"$53,905","broadway street, frankfort, ky"
"EAST TODD STREET, Frankfort, KY",Frankfort,KY,"$53,905","east todd street, frankfort, ky"
"ROUSE AVENUE, Frankfort, KY",Frankfort,KY,"$53,905","rouse avenue, frankfort, ky"
"DOUGLAS AVENUE, Frankfort, KY",Frankfort,KY,"$53,905","douglas avenue, frankfort, ky"
"FANNIN COURT, Frankfort, KY",Frankfort,KY,"$53,905","fannin court, frankfort, ky"
"SCHENKELWOOD DRIVE, Frankfort, KY",Frankfort,KY,"$53,905","schenkelwood drive, frankfort, ky"
"HUDSON STREET, Frankfort, KY",Frankfort,KY,"$53,905","hudson street, frankfort, ky"
"WEST CAMPBELL STREET, Frankfort, KY",Frankfort,KY,"$53,905","west campbell street, frankfort, ky"
"ANN STREET, Frankfort, KY",Frankfort,KY,"$53,905","ann street, frankfort, ky"
"MARLOWE COURT, Frankfort, KY",Frankfort,KY,"$53,905","marlowe court, frankfort, ky"
"NEW STREET, Frankfort, KY",Frankfort,KY,"$53,905","new street, frankfort, ky"
"WEST BROADWAY STREET, Frankfort, KY",Frankfort,KY,"$53,905","west broadway street, frankfort, ky"
"STEELE STREET, Frankfort, KY",Frankfort,KY,"$53,905","steele street, frankfort, ky"
"COFFEE TREE ROAD, Frankfort, KY",Frankfort,KY,"$53,905","coffee tree road, frankfort, ky"
"SOWER BOULEVARD, Frankfort, KY",Frankfort,KY,"$53,905","sower boulevard, frankfort, ky"
"MERO STREET, Frankfort, KY",Frankfort,KY,"$53,905","mero street, frankfort, ky"
"5800 BLOCK OF BRENTWOOD CIR, Evansville, IN",Evansville,IN,"$49,853","5800 block of brentwood cir, evansville, in"
"POLLACK AVE AND LYNN RD, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","pollack ave and lynn rd, vanderburgh county, in"
"GREEN RIVER DR AND TIMBER LN, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","green river dr and timber ln, vanderburgh county, in"
"S GREEN RIVER RD AND POLLACK AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","s green river rd and pollack ave, vanderburgh county, in"
"TEE PEE DR, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","tee pee dr, vanderburgh county, in"
"OAK HILL RD AND HERCULES AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","oak hill rd and hercules ave, vanderburgh county, in"
"800 BLOCK OF MONROE AVE, Evansville, IN",Evansville,IN,"$49,853","800 block of monroe ave, evansville, in"
"E DELAWARE ST AND LINWOOD AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","e delaware st and linwood ave, vanderburgh county, in"
"E VIRGINIA ST, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","e virginia st, vanderburgh county, in"
"OLD BUSINESS 41 AND MAXWELL AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","old business 41 and maxwell ave, vanderburgh county, in"
"LYNN RD AND AUGUSTA DR, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","lynn rd and augusta dr, vanderburgh county, in"
"S KENTUCKY AVE AND BELLEMEADE AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","s kentucky ave and bellemeade ave, vanderburgh county, in"
"N MORTON AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","n morton ave, vanderburgh county, in"
"POLLACK AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","pollack ave, vanderburgh county, in"
"CORONA DR, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","corona dr, vanderburgh county, in"
"MONROE AVE AND S GREEN RIVER RD, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","monroe ave and s green river rd, vanderburgh county, in"
"BALDWIN DR, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","baldwin dr, vanderburgh county, in"
"PEBBLE STONE DR AND SANDSTONE CT, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","pebble stone dr and sandstone ct, vanderburgh county, in"
"S WEINBACH AVE AND MARGYBETH AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","s weinbach ave and margybeth ave, vanderburgh county, in"
"OAK HILL RD, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","oak hill rd, vanderburgh county, in"
"ELNA KAY DR, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","elna kay dr, vanderburgh county, in"
"BARTLETT AVE AND E COLUMBIA ST, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","bartlett ave and e columbia st, vanderburgh county, in"
"S WEINBACH AVE AND POLLACK AVE, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","s weinbach ave and pollack ave, vanderburgh county, in"
"3900 BLOCK OF COVERT AVE, Evansville, IN",Evansville,IN,"$49,853","3900 block of covert ave, evansville, in"
"N US HWY 41 AND E VIRGINIA ST, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","n us hwy 41 and e virginia st, vanderburgh county, in"
"800 BLOCK OF JEFFERSON AVE, Evansville, IN",Evansville,IN,"$49,853","800 block of jefferson ave, evansville, in"
"N GREEN RIVER RD AND SURREY WAY, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","n green river rd and surrey way, vanderburgh county, in"
"S ENGLEWOOD AVE AND BAYARD PARK DR, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","s englewood ave and bayard park dr, vanderburgh county, in"
"S GREEN RIVER RD AND STABLES DR, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","s green river rd and stables dr, vanderburgh county, in"
"S US HWY 41 AND E RIVERSIDE DR, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","s us hwy 41 and e riverside dr, vanderburgh county, in"
"CALLOWAY DR, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","calloway dr, vanderburgh county, in"
"N GREEN RIVER RD AND SR 57, Vanderburgh County, IN",Vanderburgh County,IN,"$58,839","n green river rd and sr 57, vanderburgh county, in"
